Note,Description,key
"3,0","Suite de ""Bigfoot Junior"" sorti en 2017, revoici la famille Bigfoot au grand complet pour une nouvelle aventure !
Désormais, papa Bigfoot est une star mondiale et il désire plus que tout aider la planète à aller mieux.
Quand il apprend qu'une région d'Alaska est menacée par une société pétrolière, il part sur place sans réfléchir pour tenter d'apporter son soutien...
Ce film d'animation belge ne casse pas des briques et reste assez orienté famille et jeune public.
Néanmoins, malgré une histoire cousue de fil blanc affublée d'une morale écologiste presque étouffante, les personnages sont plutôt attachants si l'on exclu les animaux uniquement là pour amuser la galerie.
Sympathique et récréatif, sans plus.
Site CINEMADOURG.free.fr",0
"3,0","malgré un scénario moyen ce film  d animation se regarde bien même.si.la mise en route est difficile et que tout le début soit dans.la.bande annonce.
le film est visuellement très beau également",1
"3,0",Un debut laborieux qui se veut dans l'air du temps mais qui s'avère pauvre en imaginaire. On appréciera la morale écolo de bon ton mais fort simpliste. Des gags inégaux. Pour un public jeune. Les autres s'y ennuieront peut être un peu à moins d'apprécier une animation au cordo.,2
"3,5","Film vu au cinéma. 
Tout d'abord, les graphismes sont agréables à regarder et l'animation est fluide.
A propos de l'histoire, j'ai trouvé perturbant le fait que ce film soit la suite de ""Bigfoot Junior"" et que cela ne soit pas précisé. Mais cela n'entrave pas la compréhension du film. 

Bigfoot Family est un film qui se veut écolo, le message est beaucoup trop poussé selon-moi, c'est positif comme négatif.

L'histoire est sympathique, un bon film à aller voir en famille pour passer un bon moment .",3
"5,0","Nous avons adoré avec mon fils. Je trouve que c'est un film qu'il faudrait montrer dans les écoles pour changer l'attitude de consommation envers les ressources naturelles sur cette planète qui a perdu déjà des milliers d'espèces d'animaux .
Bravo et merci!",4
"4,5","Vu en famille, dont un enfant de 4 ans 1/2, nous avons passé un très bon moment. Dessin animé rythmé et très beau graphiquement. Musique sympa.",5
"4,0","un film  très sympa ,agréable et le mieux à voir en 4D
je conseille à tous d'aller le voir en famille
nous passons un bon momment",6
